                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.80787,                 0.4181,                 1.1153,                0.99111,                0.95633,                0.99001,                0.64931,                 1.2699,                0.47746,                 1.6809,              0.0010826,              0.0010826,              0.0010826
                    141,                0.80636,                0.40566,                 1.1136,                0.99543,                0.95053,                0.98607,                0.67067,                 1.2345,                0.45368,                 1.6192,               0.001076,               0.001076,               0.001076
                    142,                0.79563,                0.40903,                 1.1066,                0.99002,                 0.9607,                0.98157,                0.66596,                 1.2548,                0.45757,                 1.6407,              0.0010694,              0.0010694,              0.0010694
                    143,                0.76783,                0.40177,                 1.1017,                0.97161,                 0.9607,                0.98135,                 0.6654,                 1.2541,                0.46472,                 1.6572,              0.0010628,              0.0010628,              0.0010628
                    144,                0.76469,                0.39996,                 1.0951,                0.96431,                 0.9607,                0.97856,                0.65155,                 1.2837,                0.48533,                 1.7013,              0.0010562,              0.0010562,              0.0010562
                    145,                0.78072,                0.40534,                 1.1046,                0.98214,                0.96061,                0.98261,                0.65342,                 1.2671,                0.47184,                  1.686,              0.0010496,              0.0010496,              0.0010496
                    146,                0.79024,                0.40626,                 1.1142,                0.97193,                 0.9607,                 0.9792,                 0.6609,                 1.2558,                 0.4712,                 1.6525,               0.001043,               0.001043,               0.001043
                    147,                0.73804,                0.40171,                 1.0736,                0.97776,                0.96009,                 0.9818,                0.66762,                 1.2654,                0.48183,                 1.6801,              0.0010364,              0.0010364,              0.0010364
                    148,                0.76382,                0.39298,                 1.1005,                0.99078,                0.93807,                0.97664,                 0.6553,                  1.292,                0.48557,                 1.7096,              0.0010298,              0.0010298,              0.0010298
                    149,                0.74822,                0.38586,                 1.0855,                0.95663,                0.96326,                0.98073,                 0.6412,                 1.3009,                0.51223,                 1.7282,              0.0010232,              0.0010232,              0.0010232
